,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,pressure,temperature,lat,lon,alt,vel_n_m_s,vel_e_m_s,vel_d_m_s,mag_x,mag_y,mag_z
0,-0.0058589545,0.008522116,-0.0026631611,0.11731588,-0.04070143,-9.856929,956.0116,11.832275,473977508,85456073,488180,0.0,0.0,-0.02,0.0061852043,-0.2112755,0.427073
1,0.0026631611,-0.002130529,0.002130529,0.062249243,-0.02633622,-9.797073,956.0116,11.832275,473977508,85456073,488171,0.0,0.0,-0.01,0.0054340814,-0.21472013,0.4293667
2,0.0037284256,-0.0005326322,-0.0010652645,0.079008654,-0.019153614,-9.813833,956.0446,11.832275,473977508,85456073,488171,0.0,0.01,-0.02,0.00636233,-0.21246375,0.4336279
3,0.0010652645,0.0053263223,-0.004261058,0.074220255,-0.011971008,-9.792285,956.03046,11.832275,473977508,85456073,488179,-0.01,-0.01,-0.01,0.010232455,-0.20972972,0.42906934
4,0.0005326322,0.0,-0.0015978967,0.02873042,0.10534488,-9.809045,956.03516,11.832275,473977508,85456073,488170,0.01,0.0,0.02,0.0041297134,-0.21718568,0.42540106
5,-0.0010652645,0.0005326322,0.0026631611,0.079008654,-0.035913024,-9.809045,956.0316,11.832275,473977508,85456073,488174,0.0,0.0,-0.01,0.0013958489,-0.21654,0.43118155
6,-0.0005326322,0.0010652645,0.0031957934,0.12449849,-0.076614454,-9.742006,956.02716,11.832275,473977508,85456072,488160,-0.02,0.01,-0.03,0.006004423,-0.2159472,0.4273913
7,0.0,-0.0010652645,0.0031957934,0.24899697,-0.045489833,-9.749189,956.0308,11.832275,473977508,85456073,488165,0.01,-0.02,0.01,0.0015030492,-0.21322598,0.42820808
8,-0.0005326322,0.0010652645,0.0,0.0,-0.055066638,-9.7563715,956.03796,11.832275,473977507,85456073,488178,0.0,0.0,0.0,-9.316915e-06,-0.21964043,0.43313596
9,-0.0010652645,0.0,-0.0031957934,0.12928689,0.021547815,-9.818622,956.0243,11.832275,473977508,85456073,488173,0.01,0.0,0.01,0.010026341,-0.21321589,0.42237806
10,0.0026631611,-0.0015978967,-0.0031957934,0.074220255,-0.04070143,-9.842564,956.0243,11.832275,473977508,85456073,488178,-0.01,0.0,-0.01,0.0035404155,-0.21966597,0.4294636
11,-0.0010652645,0.002130529,-0.0058589545,0.08140286,-0.04070143,-9.768343,956.01904,11.832275,473977508,85456073,488176,0.02,0.0,-0.02,0.012601153,-0.22094166,0.4291458
12,-0.0015978967,-0.006924219,-0.0031957934,0.15083471,-0.04309563,-9.825804,956.0281,11.832275,473977508,85456072,488167,0.0,0.0,-0.01,0.010281042,-0.21632117,0.4248164
13,-0.0005326322,-0.002130529,0.0037284256,0.08619126,0.023942016,-9.787497,956.0281,11.832275,473977508,85456072,488168,0.0,0.0,0.0,0.003722035,-0.21615638,0.4307957
